id_restaurant,restaurant_name,phone,street,building,id_cuisine,id_geography
50017690,LA ESTRELLA DEL CASTILLO RESTAURANT,7183633387,NOSTRAND AVENUE,948,51,4052
50002292,THE BARONESS BAR,7187845065,CRESCENT STREET,41-26,37,14837
41619148,LA POLLERA COLORADA II,7184246531,NORTHERN BOULEVARD,82-13,51,15571
50059371,MOTEL MORRIS,5164579749,7 AVENUE,132,2,12718
50036530,CAFFE VITA,2122608482,LUDLOW STREET,124,13,9620
41056164,CACIO & PEPE,2125055931,2 AVENUE,182,46,11455
50059886,SABBA'S CHICKEN,7184849105,WESTCHESTER AVENUE,1504,2,20961
50063229,LA PARRANDA BAR RESTAURANT,7186841119,WHITE PLAINS ROAD,2712,76,22422
40379746,RESTUARANT NIPPON,2126885941,EAST   52 STREET,155,47,16018
40788471,STARBUCKS,2125860914,ROCKFEELLER PLAZA,30,13,16299
50068232,CROPSEY PIZZA AND PASTA,7189742010,CROPSEY AVENUE,2811,63,538
41722182,BLANK CAFE,3478896975,BROADWAY,25,13,8164
41674573,5BAR KARAOKE,2125946644,WEST   32 STREET,38,50,14074
50088634,MARSHALL STREET-ATOMIC WINGS,6469984910,EAST   49 STREET,306,17,15273
50080262,RAJU DRUNK MUNKY,9173628927,CORNELIA STREET,31,42,11541
41353915,G'S HOMESTYLE COOKING,7182629320,SUTPHIN BOULEVARD,95-08,16,6792
50038449,NAIA DELI GRILL JUICE AND SALAD BAR,9172957142,WASHINGTON AVENUE,2115,2,21875
50015757,JOE'S PIZZA & PASTA,7182291300,MARATHON PKWY,5607,63,16654
40939208,SUGARCANE,7182303954,FLATBUSH AVENUE,238,16,5234
40821884,GINO'S PIZZA,7189394474,KISSENA BOULEVARD,65-01,62,12204
41456579,SUBWAY,7184844646,CHURCH AVENUE,2011,68,3357
50071605,BAAR BAAR,2122281200,EAST    1 STREET,13,42,10340
50078218,MEAL MART,7182613300,MAIN ST,7210,48,10624
41033313,KETTLE OF FISH,2124142278,CHRISTOPHER STREET,59,2,11863
50071645,SILVER FACTORY,3477253017,SOUTH    5 STREET,270,50,8004
41294017,DUKE'S,2127172020,2ND  AVENUE,1596 1598,2,17637
41625139,SIX HAPPINESS CHINESE RESTAURANT,7186788888,CROSBY AVENUE,1378,19,21415
41219576,EMPERADOR ELIAS RESTAURANT,7183887784,BROADWAY,274,51,7941
50079087,HUDSON RESTAURANT,9178290840,BEDFORD AVENUE,340,33,8400
41144024,RIDGEWAY DINER,2127410096,6 AVENUE,664,2,12769
41722813,PONCHE TAQUERIA,2125811235,WEST   49 STREET,420,53,17392
50046633,PANDA,7182688899,YELLOWSTONE BLVD,7303,19,9226
50005585,BUFFALO WILD WINGS,2122659453,WEST   47 STREET,253,17,16575
40564858,MURPHY'S LAW,2126283724,EAST   70 STREET,417,45,18039
41067502,CARLOS PIZZERIA,7183868526,SENECA AVENUE,575,63,7456
41623737,CORKBUZZ WINE STUDIO,6468736071,EAST   13 STREET,13,2,12012
41694992,IMPERIAL PALACE,7189393501,37 AVENUE,13613,19,17038
41557884,KASBAH BBQ & GRILL,2124961500,WEST   85 STREET,251,48,19546
40368338,BRADY'S BAR,2128616070,2 AVENUE,1583,2,18846
40757425,DA MIKELLE II,7189976166,QUEENS BOULEVARD,102-39,48,10471
50015717,SIFU CHIO RESTAURANT,9178639969,NORTHERN BOULEVARD,251-28,19,18381
50049464,THE BROOKLYN TREE,7188131263,MONTROSE AVENUE,188,2,7775
41681923,MIST HARLEM,6467383043,WEST  116 STREET,46,2,20002
40942485,107 WEST RESTAURANT,2128641555,BROADWAY,2787,2,20034
41605297,DELIZIA 92,2129963720,2 AVENUE,1762,63,19259
40593844,THE ORIGINAL PIZZA OF 4TH AVE,7188368055,4 AVENUE,6823,62,2467
50067958,KOTO SUSHI & STEAK,7182228055,HENRY STREET,552,47,5412
