id_geography,zipcode,id_borough,building,street,latitude,longitude
4024,11225,3,948,NOSTRAND AVENUE,40.665691233343,-73.950901784124
14714,11101,4,41-26,CRESCENT STREET,40.75180294914,-73.939501338959
15437,11372,4,82-13,NORTHERN BOULEVARD,40.75558212959,-73.885149926454
12622,10011,1,132,7 AVENUE,40.740966091414,-73.997932223491
9554,10002,1,124,LUDLOW STREET,40.719718307529,-73.988524446734
11370,10003,1,182,2 AVENUE,40.730688875082,-73.986133970566
20751,10472,2,1504,WESTCHESTER AVENUE,40.828518474267,-73.879820171947
22196,10467,2,2712,WHITE PLAINS ROAD,40.865693182355,-73.867337161105
15879,10022,1,155,EAST   52 STREET,40.757510580115,-73.970881478995
0,null,1,30,ROCKFEELLER PLAZA,0,0
532,11214,3,2811,CROPSEY AVENUE,40.586198487515,-73.988162247681
8110,11249,3,25,BROADWAY,40.710755470624,-73.967922564566
13962,10001,1,38,WEST   32 STREET,40.747882202654,-73.987252796195
15141,10017,1,306,EAST   49 STREET,40.754043326774,-73.968526064627
11456,10014,1,31,CORNELIA STREET,40.731326473201,-74.002417467842
6746,11435,4,95-08,SUTPHIN BOULEVARD,40.698220263051,-73.806359821833
21654,10457,2,2115,WASHINGTON AVENUE,40.851880404854,-73.895339205538
16505,11362,4,5607,MARATHON PKWY,40.760189479339,-73.731612502881
5202,11217,3,238,FLATBUSH AVENUE,40.680438439273,-73.974837933912
12112,11367,4,65-01,KISSENA BOULEVARD,40.736954548646,-73.814683434373
3331,11226,3,2011,CHURCH AVENUE,40.650110183329,-73.960780368158
10266,10003,1,13,EAST    1 STREET,40.724516414766,-73.991435104559
10546,11367,4,7210,MAIN ST,40.726346102347,-73.821669075826
11774,10014,1,59,CHRISTOPHER STREET,40.733697952566,-74.002294872356
7952,11211,3,270,SOUTH    5 STREET,40.709404757242,-73.958476562381
0,null,1,1596 1598,2ND  AVENUE,0,0
21201,10461,2,1378,CROSBY AVENUE,40.840249056015,-73.829555730982
7889,11211,3,274,BROADWAY,40.708724168904,-73.958794398093
8343,11249,3,340,BEDFORD AVENUE,40.712749245872,-73.962417087806
12673,10010,1,664,6 AVENUE,40.741383151339,-73.993890457889
17238,10019,1,420,WEST   49 STREET,40.763192765105,-73.990246066614
9163,11375,4,7303,YELLOWSTONE BLVD,40.717680937564,-73.856994616372
16427,10036,1,253,WEST   47 STREET,40.759906884359,-73.986283082385
17874,10021,1,417,EAST   70 STREET,40.766242540347,-73.95635437449
7407,11385,4,575,SENECA AVENUE,40.704497172094,-73.910535711087
11923,10003,1,13,EAST   13 STREET,40.734990566823,-73.993349792265
16885,11354,4,13613,37 AVENUE,40.761673794176,-73.830584230826
19359,10024,1,251,WEST   85 STREET,40.78785534499,-73.977527276446
18665,10028,1,1583,2 AVENUE,40.775433620871,-73.953532090009
10395,11375,4,102-39,QUEENS BOULEVARD,40.725471027107,-73.850866141238
18211,11362,4,251-28,NORTHERN BOULEVARD,40.769461566407,-73.736459662983
7725,11206,3,188,MONTROSE AVENUE,40.707432359652,-73.94201607197
19810,10026,1,46,WEST  116 STREET,40.801465396451,-73.948395674795
19841,10025,1,2787,BROADWAY,40.80251553642,-73.967997372023
19073,10128,1,1762,2 AVENUE,40.781527823222,-73.949061146832
2448,11220,3,6823,4 AVENUE,40.635092336041,-74.023311006826
5378,11231,3,552,HENRY STREET,40.682230793964,-74.000331705475
7586,11237,3,31,WYCKOFF AVENUE,40.70633113204,-73.922464549501
21304,10457,2,1692,WEBSTER AVENUE,40.843211391855,-73.903445214682
18898,10128,1,1700,1 AVENUE,40.778412158684,-73.948236683921
17414,11354,4,15628,NORTHERN BLVD,40.763961680113,-73.808824869434
2042,11209,3,7609,5 AVENUE,40.628540600084,-74.023009695231
7568,11412,4,20003,HOLLIS AVENUE,40.706169176024,-73.75732737148
8790,10007,1,86A,WEST BROADWAY,40.715195109911,-74.009505194241
10292,11375,4,10311,QUEENS BLVD,40.724745445793,-73.850128170458
14666,10168,1,122,EAST   42 STREET,40.751594155541,-73.976449558859
13444,10016,1,643,2 AVENUE,40.745533488686,-73.975336549083
11787,11373,4,90-15,QUEENS BOULEVARD,40.733840182011,-73.871577033806
3254,11220,3,4518,5 AVENUE,40.647747900349,-74.007574816996
20148,10465,2,134,PENNYFIELD AVENUE,40.811657057444,-73.805389088739
10974,10003,1,34,ST MARKS PLACE,40.728765015721,-73.98810435231
18802,10028,1,1640,2 AVENUE,40.777285764692,-73.952155130566
10528,10009,1,131,EAST    7 STREET,40.726299732684,-73.98411447017
3802,11203,3,505,UTICA AVENUE,40.661102908946,-73.931369604033
2108,10302,5,537,PORT RICHMOND AVENUE,40.629807292028,-74.140398981449
3319,11220,3,4412,4 AVENUE,40.649688338499,-74.009232753452
22697,10466,2,4325,BOSTON ROAD,40.889958197447,-73.820071093679
2801,11236,3,8901,FLATLANDS AVENUE,40.639810621164,-73.906634035202
22211,10034,1,553,WEST  207 STREET,40.866074127087,-73.920166127839
15258,11372,4,7320,NORTHERN BOULEVARD,40.754695353925,-73.893460379625
19089,10024,1,360,AMSTERDAM AVENUE,40.78197639914,-73.979190289769
16839,10019,1,807,8 AVENUE,40.761444001217,-73.986726769862
16412,10019,1,25,WEST   51 STREET,40.759859007645,-73.978385041076
8152,11211,3,525,GRAND STREET,40.711045571367,-73.950182906736
7810,11211,3,265,UNION AVENUE,40.70804573975,-73.950650446915
14363,10001,1,409,8 AVENUE,40.749924909282,-73.995120399211
7903,11423,4,18215,JAMAICA AVE,40.708816702334,-73.778436391703
13635,11101,4,2428,JACKSON AVENUE,40.746392659289,-73.944197946158
20593,10031,1,1693,AMSTERDAM AVENUE,40.824397652502,-73.948200773795
4225,11212,3,1642,PITKIN AVENUE,40.669412191657,-73.912457449189
12632,10016,1,364,3 AVENUE,40.74100854542,-73.981566825062
8685,10007,1,96,CHAMBERS STREET,40.714673757035,-74.00743094739
13814,10001,1,156,WEST   29 STREET,40.747303461364,-73.991637878373
14023,11373,4,4008,CASE ST,40.748231064796,-73.876648820648
