inspection_date,year,month,month_name,day,day_name,quarter
12/08/2016,2016,12,December,8,Thursday,4
10/18/2017,2017,10,October,18,Wednesday,4
02/28/2020,2020,2,February,28,Friday,1
01/30/2019,2019,1,January,30,Wednesday,1
02/11/2020,2020,2,February,11,Tuesday,1
02/16/2017,2017,2,February,16,Thursday,1
05/06/2017,2017,5,May,6,Saturday,2
06/02/2018,2018,6,June,2,Saturday,2
04/17/2017,2017,4,April,17,Monday,2
01/19/2019,2019,1,January,19,Saturday,1
07/13/2018,2018,7,July,13,Friday,3
06/18/2016,2016,6,June,18,Saturday,2
04/04/2019,2019,4,April,4,Thursday,2
04/03/2017,2017,4,April,3,Monday,2
06/27/2017,2017,6,June,27,Tuesday,2
11/18/2017,2017,11,November,18,Saturday,4
11/30/2016,2016,11,November,30,Wednesday,4
10/30/2017,2017,10,October,30,Monday,4
02/22/2019,2019,2,February,22,Friday,1
10/03/2016,2016,10,October,3,Monday,4
05/08/2017,2017,5,May,8,Monday,2
09/10/2019,2019,9,September,10,Tuesday,3
08/19/2017,2017,8,August,19,Saturday,3
09/26/2019,2019,9,September,26,Thursday,3
01/03/2017,2017,1,January,3,Tuesday,1
10/05/2016,2016,10,October,5,Wednesday,4
06/30/2017,2017,6,June,30,Friday,2
10/12/2016,2016,10,October,12,Wednesday,4
04/22/2016,2016,4,April,22,Friday,2
02/13/2019,2019,2,February,13,Wednesday,1
01/15/2020,2020,1,January,15,Wednesday,1
06/22/2018,2018,6,June,22,Friday,2
12/29/2016,2016,12,December,29,Thursday,4
08/05/2019,2019,8,August,5,Monday,3
12/24/2016,2016,12,December,24,Saturday,4
04/22/2019,2019,4,April,22,Monday,2
10/02/2017,2017,10,October,2,Monday,4
07/27/2017,2017,7,July,27,Thursday,3
01/03/2020,2020,1,January,3,Friday,1
06/10/2017,2017,6,June,10,Saturday,2
03/12/2018,2018,3,March,12,Monday,1
07/20/2016,2016,7,July,20,Wednesday,3
05/16/2017,2017,5,May,16,Tuesday,2
03/17/2019,2019,3,March,17,Sunday,1
05/10/2016,2016,5,May,10,Tuesday,2
06/12/2016,2016,6,June,12,Sunday,2
07/31/2017,2017,7,July,31,Monday,3
10/28/2019,2019,10,October,28,Monday,4
05/22/2019,2019,5,May,22,Wednesday,2
10/17/2017,2017,10,October,17,Tuesday,4
02/07/2019,2019,2,February,7,Thursday,1
07/09/2018,2018,7,July,9,Monday,3
02/24/2018,2018,2,February,24,Saturday,1
04/15/2017,2017,4,April,15,Saturday,2
06/03/2016,2016,6,June,3,Friday,2
05/05/2018,2018,5,May,5,Saturday,2
01/07/2016,2016,1,January,7,Thursday,1
03/04/2017,2017,3,March,4,Saturday,1
06/06/2019,2019,6,June,6,Thursday,2
01/17/2019,2019,1,January,17,Thursday,1
08/03/2018,2018,8,August,3,Friday,3
09/23/2017,2017,9,September,23,Saturday,3
03/03/2019,2019,3,March,3,Sunday,1
10/08/2019,2019,10,October,8,Tuesday,4
06/14/2018,2018,6,June,14,Thursday,2
07/24/2019,2019,7,July,24,Wednesday,3
03/10/2018,2018,3,March,10,Saturday,1
11/29/2018,2018,11,November,29,Thursday,4
11/01/2019,2019,11,November,1,Friday,4
10/23/2017,2017,10,October,23,Monday,4
10/11/2016,2016,10,October,11,Tuesday,4
10/14/2016,2016,10,October,14,Friday,4
04/19/2017,2017,4,April,19,Wednesday,2
01/04/2020,2020,1,January,4,Saturday,1
05/27/2017,2017,5,May,27,Saturday,2
03/01/2016,2016,3,March,1,Tuesday,1
01/14/2018,2018,1,January,14,Sunday,1
12/03/2018,2018,12,December,3,Monday,4
12/14/2016,2016,12,December,14,Wednesday,4
01/23/2017,2017,1,January,23,Monday,1
04/01/2019,2019,4,April,1,Monday,2
11/14/2019,2019,11,November,14,Thursday,4
10/27/2018,2018,10,October,27,Saturday,4
09/19/2019,2019,9,September,19,Thursday,3
07/26/2017,2017,7,July,26,Wednesday,3
09/07/2018,2018,9,September,7,Friday,3
01/19/2018,2018,1,January,19,Friday,1
05/12/2016,2016,5,May,12,Thursday,2
09/02/2016,2016,9,September,2,Friday,3
07/08/2016,2016,7,July,8,Friday,3
05/26/2018,2018,5,May,26,Saturday,2
02/23/2016,2016,2,February,23,Tuesday,1
06/07/2019,2019,6,June,7,Friday,2
